user_id,username,real_name,email,phone,age,gender,height_cm,initial_weight_kg,bmi,fitness_goal,member_type,join_date,role
1,cqian0,罗峰,epeng@example.net,14524441965,36,女,162.5,57.0,21.6,减重,月卡,2025-09-09,STUDENT
2,pqian1,杨金凤,ming26@example.org,13165875190,44,男,175.9,88.4,28.6,减脂,月卡,2025-09-18,STUDENT
3,wei612,何瑜,yanghou@example.net,18168978236,18,男,170.6,67.8,23.3,增肌,年卡,2024-10-19,STUDENT
4,yongqiao3,杨雪,hxiong@example.com,15295983540,22,男,181.5,86.6,26.3,增肌,月卡,2024-10-16,STUDENT
5,mingzou4,柴燕,gongchao@example.net,15308780419,28,男,169.2,73.4,25.6,塑形,季卡,2025-09-19,STUDENT
6,juanliang5,杜旭,taohou@example.org,18984302745,31,女,157.7,51.2,20.6,减脂,年卡,2024-09-08,STUDENT
7,xia476,毕晨,xiulan66@example.com,18289085285,32,男,173.5,54.9,18.3,减脂,年卡,2024-03-29,STUDENT
8,yan177,周楠,guojie@example.org,13614327273,51,男,161.7,58.3,22.3,增肌,月卡,2025-05-03,STUDENT
9,jielei8,黄旭,yangsun@example.net,18108533606,37,男,165.9,68.7,24.9,增肌,季卡,2024-09-14,STUDENT
10,min819,刘娟,xiulan52@example.net,15565339362,41,男,166.6,54.8,19.8,减重,季卡,2025-03-24,STUDENT
11,gangguo10,王玉英,qiang77@example.org,13888354996,37,男,180.8,76.2,23.3,减脂,季卡,2024-09-05,STUDENT
12,uyi11,支玉华,fshi@example.org,13965301135,34,男,172.4,58.6,19.7,减脂,年卡,2025-10-26,STUDENT
13,xuegang12,刘淑华,minlai@example.org,13458768898,18,女,157.3,55.2,22.3,减脂,月卡,2024-05-21,STUDENT
14,qiang3013,宣龙,gang99@example.net,18981782185,51,男,165.1,68.5,25.1,减脂,季卡,2024-03-04,STUDENT
15,icao14,陈楠,liwei@example.net,18549411069,30,男,168.4,65.6,23.1,减重,年卡,2025-03-28,STUDENT
16,tianxiuying15,李淑兰,qianghu@example.net,15975716252,42,女,157.0,67.9,27.6,减重,次卡,2025-08-03,STUDENT
17,yangwen16,王婷婷,yijie@example.org,15558024189,27,男,171.9,61.6,20.8,增肌,月卡,2025-07-12,STUDENT
18,zhaowei17,周琳,guofang@example.org,14578455583,42,男,176.9,63.7,20.3,减重,年卡,2024-08-30,STUDENT
19,cuifang18,鞠玉珍,chao83@example.org,15162254160,34,男,173.3,54.4,18.1,减脂,月卡,2024-06-21,STUDENT
20,hye19,孟建国,daiguiying@example.org,18731968557,41,男,164.0,66.2,24.6,减重,月卡,2025-12-19,STUDENT
21,jielai20,石阳,qma@example.com,18665335035,60,男,176.4,76.3,24.5,减脂,月卡,2024-03-22,STUDENT
22,shaoyong21,兰建,gangwen@example.com,15020858631,34,男,171.3,67.8,23.1,减重,年卡,2024-06-18,STUDENT
23,bhe22,刘秀珍,yang30@example.org,15643073362,64,男,163.1,58.1,21.8,减脂,季卡,2025-08-30,STUDENT
24,lianggang23,刘柳,zhaoxia@example.com,18654608406,50,男,169.2,77.8,27.2,减重,年卡,2025-10-03,STUDENT
25,jie6024,马丹丹,wei99@example.net,14591333004,25,男,174.1,56.7,18.7,塑形,年卡,2025-08-16,STUDENT
26,ytao25,王建国,fang03@example.com,13988540651,25,男,173.9,69.1,22.8,减重,年卡,2024-10-15,STUDENT
27,caitao26,王秀荣,pingdai@example.org,15986822508,64,男,167.9,72.9,25.8,增肌,季卡,2024-02-04,STUDENT
28,vfang27,张飞,tao22@example.org,18594066913,43,女,165.2,67.6,24.8,减重,季卡,2025-01-10,STUDENT
29,dengjie28,洪强,xguo@example.org,18521624390,21,男,167.0,64.3,23.1,减重,年卡,2025-10-23,STUDENT
