user_id,username,real_name,email,phone,age,gender,height_cm,initial_weight_kg,fitness_goal,role,created_at
1,gang001,李斌,ping22@example.net,18522631909,51,女,155.2,45.8,减重,STUDENT,2025-02-25T09:32:47.553861
2,ncai2,石佳,fanwei@example.org,15891062747,41,男,178.1,80.7,增肌,STUDENT,2025-06-01T09:32:47.554088
3,omao3,吴秀英,taoqin@example.com,15309909852,42,男,177.6,85.0,增肌,STUDENT,2025-12-08T09:32:47.554268
4,qiang144,梁斌,lixu@example.net,15125215392,31,女,166.1,53.5,增肌,STUDENT,2025-07-15T09:32:47.554440
5,chao185,谢玉珍,yongcai@example.com,18560562599,24,男,170.7,73.8,减脂,STUDENT,2025-05-27T09:32:47.554609
6,thao6,黄桂荣,tianjie@example.org,13287846368,27,女,155.1,65.8,减重,STUDENT,2025-09-22T09:32:47.554861
7,gangyang7,李凤兰,tao63@example.net,18561338941,46,女,164.2,74.3,减重,STUDENT,2025-11-05T09:32:47.555150
8,thuang8,曾丽娟,lei73@example.com,18813696689,43,男,171.4,64.3,增肌,STUDENT,2025-04-14T09:32:47.555335
9,laijun9,蔡利,jie25@example.net,18288737781,20,女,174.3,50.8,增肌,STUDENT,2025-06-25T09:32:47.555525
10,yongchen10,石凤英,lwei@example.net,13553216794,33,男,178.5,90.6,增肌,STUDENT,2025-09-13T09:32:47.555702
11,swen11,齐凤英,juan43@example.com,15203329262,43,女,162.5,73.4,减脂,STUDENT,2025-11-12T09:32:47.555892
12,qiang3212,蒲志强,qiangliu@example.net,13864184509,38,女,168.8,49.4,增肌,STUDENT,2025-12-10T09:32:47.556071
13,dongwei13,李雪梅,yma@example.com,14521377380,46,女,161.0,65.5,减脂,STUDENT,2025-09-17T09:32:47.556243
14,cpeng14,程畅,ming78@example.com,18852555826,36,男,174.5,89.1,减重,STUDENT,2025-10-04T09:32:47.556407
15,taoqin15,侯桂芳,junsun@example.com,13997701226,24,男,165.0,69.3,减重,STUDENT,2025-10-17T09:32:47.556578
